Standardized Coefficients from MLR using our Pipeline,,,,
Feature,Estimate,sigma,standpred,absstandpred
Gm12878-WeakEnhancer_count,-0.092607167,0.608619769,-0.056362553,0.056362553
Gm12878-H3k4me3_dist,0.018189451,2.651314167,0.048225949,0.048225949
Gm12878-H3k9me3_count,-0.066306877,0.658922053,-0.043691063,0.043691063
Gm12878-H3k4me1_dist,-0.013824437,3.022570142,-0.04178533,0.04178533
Gm12878-CTCF_count,-0.099574358,0.359543019,-0.035801265,0.035801265
Gm12878-H3k27ac_dist,-0.013354138,2.674952909,-0.03572169,0.03572169
Gm12878-PoisedPromoter_dist,0.015209956,2.204692844,0.033533282,0.033533282
Gm12878-H3k79me2_count,0.066466803,0.471595849,0.031345468,0.031345468
Gm12878-R_dist,-0.013928754,2.238286605,-0.031176544,0.031176544
UCNE_dist,-0.011989926,2.540323696,-0.030458293,0.030458293
gain_loss_dist,0.013873623,2.148455131,0.029806856,0.029806856
Gm12878-H3k9me3_dist,0.011549994,2.437339922,0.028151262,0.028151262
SINE_dist,0.013086436,2.142000434,0.028031152,0.028031152
Gm12878-TxnElongation_count,0.070410377,0.351861815,0.024774723,0.024774723
mobile_element_insertion_dist,-0.012225873,1.964501408,-0.024017744,0.024017744
Gm12878-Repressed_count,-0.0772158,0.301415521,-0.02327404,0.02327404
GERP_count,0.01038485,2.191998665,0.022763578,0.022763578
sequence_alteration_dist,-0.011802243,1.921383832,-0.022676639,0.022676639
Gm12878-H3k27me3_count,0.042182142,0.51455866,0.021705187,0.021705187
Gm12878-H3k4me3_count,0.042175547,0.514077889,0.021681516,0.021681516
inversion_count,-0.05506232,0.371169813,-0.020437471,0.020437471
Gm12878-H3k4me2_count,0.032019397,0.634413561,0.02031354,0.02031354
deletion_count,0.016168627,1.209860195,0.019561778,0.019561778
insertion_count,0.039501336,0.416381942,0.016447643,0.016447643
Gm12878-StrongEnhancer_dist,0.005291713,2.776284656,0.014691302,0.014691302
Gm12878-H3k27ac_count,-0.027133673,0.514012656,-0.013947051,0.013947051
Gm12878-E_dist,0.004731396,2.819070087,0.013338138,0.013338138
duplication_dist,0.005807476,2.225107291,0.012922256,0.012922256
Gm12878-H3k4me2_dist,0.004498309,2.827175111,0.012717508,0.012717508
tandem_duplication_dist,-0.006703538,1.893007336,-0.012689847,0.012689847
VMR_count,-0.007670833,1.589388154,-0.012191931,0.012191931
deletion_dist,0.006078388,1.992336145,0.012110192,0.012110192
Gm12878-DNase_count,-0.011858418,0.972301646,-0.011529959,0.011529959
Gm12878-H4k20me1_count,0.020428376,0.502439665,0.010264027,0.010264027
insertion_dist,0.005142662,1.921069601,0.009879411,0.009879411
DNA_dist,-0.004506214,1.966362374,-0.008860849,0.008860849
inversion_dist,0.004297016,1.96804665,0.008456728,0.008456728
DNA_count,0.025233631,0.334186252,0.008432733,0.008432733
VMR_dist,0.003712941,2.247818159,0.008346017,0.008346017
LTR_count,0.013996542,0.593994328,0.008313866,0.008313866
Gm12878-H3k4me1_count,-0.00846175,0.777736298,-0.00658101,0.00658101
complex_dist,0.003034978,2.042069378,0.006197636,0.006197636
novel_sequence_insertion_dist,-0.002557015,1.942878314,-0.004967969,0.004967969
LTR_dist,0.002005929,2.030697526,0.004073435,0.004073435
SINE_count,-0.009278328,0.423627824,-0.003930558,0.003930558
Gm12878-H3k27me3_dist,-0.001174407,2.655773425,-0.003118959,0.003118959
LINE_dist,-0.001484627,1.887319678,-0.002801966,0.002801966
Gm12878-H3k9ac_count,-0.006036934,0.453275167,-0.002736392,0.002736392
LINE_count,0.003208449,0.834828954,0.002678506,0.002678506
Gm12878-H2az_count,-0.002413163,0.669667921,-0.001616018,0.001616018
Gm12878-T_dist,-0.000711699,2.2574759,-0.001606643,0.001606643
Gm12878-TxnTransition_dist,-0.000578777,2.687271889,-0.001555331,0.001555331
Gm12878-H4k20me1_dist,-8.46E-05,2.875950129,-0.000243412,0.000243412
Gm12878-RepetitiveCNV_dist,3.38E-05,1.944800852,6.57E-05,6.57E-05
